Dept,Actual_Sales,Predicted_Demand,Reorder_Quantity
1,35445927.76,35109068.0,7090641.92
2,85052985.88,85324240.0,17049553.59
3,23783096.65,24015328.0,4615677.31
4,51003352.42,50953308.0,10032001.28
5,33472398.7,33748500.0,6818737.53
6,5956192.62,6056107.5,1184191.84
7,37849580.53,38575228.0,7765520.07
8,58876083.76,58759810.0,10861383.65
9,40183258.61,40010516.0,8092186.03
10,35790072.73,35734804.0,7062369.66
11,27336093.56,27104796.0,5558434.49
12,8187798.52,8112684.5,1632623.68
13,59510812.89,59332150.0,12131083.89
14,26532589.69,26605232.0,5511855.72
16,29431276.26,29429196.0,5992062.42
17,18335108.21,18367532.0,3743715.7
18,5444485.55,5783059.5,1173100.45
19,2009823.22,2005846.6,410719.56
20,10039958.82,10064533.0,1901237.5
21,8818067.24,8851864.0,1766145.71
22,17323364.2,17380616.0,3478390.4
23,39936902.54,39981296.0,8249944.47
24,9577092.44,9558953.0,1906406.42
25,16562008.76,16605255.0,3201617.06
26,12234101.64,12219370.0,2430364.44
27,2484865.37,2526584.8,493949.83
28,987991.03,997953.1,195491.85
29,8514794.84,8577415.0,1633624.88
30,6254995.2,6280363.0,1279768.2
31,3813086.88,3873711.2,780995.11
32,10974316.62,11037974.0,2279099.75
33,9629361.24,9641129.0,1883579.92
34,25163278.88,25153782.0,5298857.62
35,4568672.1,4601996.5,916800.96
36,3054541.11,3149472.5,636709.68
37,2356245.25,2357083.5,455632.61
38,121001575.87,120675180.0,23194306.33
40,89199337.0,88988840.0,17363756.35
41,2856509.84,2904361.8,567258.25
42,10436570.59,10381462.0,2099569.69
44,7382313.68,7356628.0,1489090.44
45,8225.0,14021.017,2700.43
46,38729071.84,38772516.0,7993743.4
47,662.23,9142.695,1667.1100000000001
48,982391.93,958912.94,218982.26
49,11330860.28,11253886.0,2189497.99
50,1291496.85,1285012.0,247080.11
51,341.14,2868.439,549.37
52,3329724.41,3337488.5,644235.31
54,49771.37,70822.92,13827.61
55,12861675.16,13115261.0,2765137.54
56,7342074.82,7510163.5,1536484.52
58,4804145.95,4647989.5,921036.03
59,395177.36,501846.06,102481.54
60,613142.01,622599.44,124984.02
65,1993897.24,1997129.0,337394.96
67,14177061.48,13887446.0,2678197.02
71,8891483.65,8963225.0,1710052.89
72,80307913.75,81579336.0,16208625.69
74,26440245.64,26556716.0,5461061.03
78,10.0,195.54198,41.029999999999994
79,42634761.85,42514516.0,8588758.44
80,21746006.56,21720366.0,4277443.22
81,30457998.24,30366292.0,6212805.19
82,29500491.18,29701104.0,5998758.98
83,6022675.73,6012384.5,1205512.52
85,3483860.29,3541353.2,725487.92
87,29179219.14,29066688.0,5650551.45
90,89715358.35,90235784.0,17954385.24
91,66488166.77,66300404.0,12657278.33
92,151629440.98,152579120.0,31177731.28
93,49515027.41,49315310.0,9726751.07
94,58364678.38,58252228.0,11249884.06
95,137891790.0,138362960.0,28551262.13
96,23560466.23,23560130.0,4750107.52
97,27400974.26,27303974.0,5472272.54
98,11504642.3,11479326.0,2302348.47
99,94528.9,180832.78,36623.42
