Store,Actual_Sales,Predicted_Demand,Current_Stock,Reorder_Quantity,Forecast_Difference
1,68201662.02,68777630.0,71984454.0,14048792.27,-575969.9800000042
2,81496643.73,81589980.0,86127166.0,16010868.66,-93340.26999999583
3,18024420.17,17849652.0,18552598.0,3663588.48,174768.1700000018
4,92770023.24,92648230.0,97146372.0,18669584.57,121791.23999999464
5,14168627.63,14169716.0,14934660.0,2844238.72,-1088.3699999991804
6,66315054.63,66615424.0,70449562.0,12861623.91,-300369.3699999973
7,25367343.47,25473278.0,26787631.0,5091592.91,-105934.53000000119
8,39233598.79,39284556.0,41809129.0,7536979.3,-50957.210000000894
9,23974225.09,23911306.0,25231809.0,4680144.79,62919.08999999985
10,78228616.94,78921176.0,82186350.0,16193844.42,-692559.0600000024
11,58183874.56,58350480.0,60986478.0,11944643.7,-166605.43999999762
12,43334052.82,43416300.0,45449941.0,8697550.95,-82247.1799999997
13,86706360.02,86791030.0,91567041.0,17152864.46,-84671.98000000417
14,77441152.58,78812820.0,82609678.0,15875468.9,-1371663.4200000018
15,24827071.95,24884198.0,26012275.0,5072130.26,-57126.050000000745
16,22097995.56,22181644.0,23236203.0,4508619.93,-83648.44000000134
17,40282081.8,39983508.0,41629769.0,8246625.81,298573.799999997
18,44918839.45,44782976.0,47318307.0,8706628.27,135863.45000000298
19,59211810.27,59472680.0,62709361.0,11707924.53,-260869.72999999672
20,89827612.91,90029550.0,94883079.0,17605974.65,-201939.09000000358
21,30251816.95,30402510.0,31920307.0,6111325.44,-150693.05000000075
22,42655405.71,42596096.0,44785977.0,8519362.69,59309.710000000894
23,58767732.37,58699360.0,61493471.0,11647087.01,68372.36999999732
24,57185786.17,57271420.0,60138395.0,11379007.01,-85633.82999999821
25,29490667.34,29495702.0,30988664.0,5888361.83,-5034.660000000149
26,42976246.29,42927276.0,45036826.0,8520382.75,48970.289999999106
27,71918707.72,72643944.0,76657648.0,14191389.84,-725236.2800000012
28,55328295.19,54846464.0,57626913.0,10989044.11,481831.1899999976
29,22244367.24,22208514.0,23380664.0,4397884.13,35853.23999999836
30,18795421.98,18796302.0,19393549.0,4010129.68,-880.019999999553
31,59884200.22,59935984.0,62288812.0,12616013.33,-51783.78000000119
32,50281243.0,50236548.0,52528866.0,10140847.2,44695.0
33,11434987.06,11363637.0,11924759.0,2246601.58,71350.06000000052
34,41739477.15,41744316.0,44335454.0,7893041.33,-4838.85000000149
35,35237622.55,35295590.0,36974915.0,7095620.66,-57969.45000000298
36,13287182.16,13330356.0,14002463.0,2652961.03,-43173.83999999985
37,22611569.22,22610612.0,23884852.0,4374398.01,957.2199999988079
38,18630805.84,18440106.0,19533827.0,3547085.84,190699.83999999985
39,65885620.03,66090780.0,69489971.0,13119070.19,-205159.9699999988
40,41172249.84,41171604.0,43720799.0,7943799.99,645.8400000035763
41,56887436.93,57040720.0,60118917.0,11248604.86,-153283.0700000003
42,24949812.53,24856962.0,26088447.0,4954723.26,92850.53000000119
43,26974977.64,26913474.0,27991969.0,5621087.01,61503.640000000596
44,14185655.31,14101808.0,14534318.0,3025797.23,83847.31000000052
45,32721993.31,32806374.0,34280232.0,6670882.4,-84380.69000000134
